state,SH1,SH2,SH3,SH4,SH5,SH6,SH7
Alabama,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
Alaska,Statewide,All Travelers,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Arizona,Statewide,From Certain States,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Arkansas,No,No,No,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
California,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,No
Colorado,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Connecticut,Statewide,No,All NonNoEssential Businesses,Other,Yes,Closed except for takeout/delivery,Yes
Delaware,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
District of Columbia,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Florida,Statewide,From Certain States,All NonNoEssential Businesses,Other,Yes,Closed except for takeout/delivery,No
Georgia,Statewide,No,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
Hawaii,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Idaho,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,No
Illinois,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Indiana,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes
Iowa,No,No,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Kansas,Statewide,From Certain States,All NonNoEssential Businesses,>10 People Prohibited,Yes,Limited OnNosite Service,No
Kentucky,Statewide,Other,All NonNoEssential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes
Louisiana,Statewide,No,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
Maine,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Maryland,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
Massachusetts,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Michigan,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Minnesota,Statewide,No,No,No,Yes,Closed except for takeout/delivery,No
Mississippi,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes
Missouri,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Montana,Statewide,All Travelers,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Nebraska,No,No,No,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Nevada,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
New Hampshire,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
New Jersey,Statewide,No,All NonNoEssential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes
New Mexico,Statewide,All Air Travelers,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Limited OnNosite Service,No
New York,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes
North Carolina,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
North Dakota,No,All Travelers,Other,No,Yes,Closed except for takeout/delivery,No
Ohio,Statewide,All Travelers,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes
Oklahoma,HighNorisk Groups,From Certain States,All NonNoEssential Businesses,>10 People Prohibited,Yes,Other,No
Oregon,Statewide,No,All NonNoEssential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Pennsylvania,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Rhode Island,Statewide,All Travelers,All NonNoEssential Retail Businesses,Other,Yes,Closed except for takeout/delivery,Yes
South Carolina,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
South Dakota,No,No,No,>10 People Prohibited,Yes,No,No
Tennessee,Statewide,No,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Texas,Other,From Certain States,No,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Utah,HighNorisk Groups,All Travelers,No,No,Yes,Closed except for takeout/delivery,No
Vermont,Statewide,All Travelers,All NonNoEssential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Virginia,Statewide,No,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
Washington,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
West Virginia,Statewide,From Certain States,All NonNoEssential Businesses,Other,Yes,Closed except for takeout/delivery,Yes
Wisconsin,Statewide,No,All NonNoEssential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,No
Wyoming,No,All Travelers,No,>10 People Prohibited,Yes,Closed except for takeout/delivery,No
